iter	RMSE
0	1.476748421
1	1.457716783
2	1.441777792
3	1.429536343
4	1.413992971
5	1.40057677
6	1.385922963
7	1.371902194
8	1.35665373
9	1.344583492
10	1.334278109
11	1.320888635
12	1.311821304
13	1.299815506
14	1.286556295
15	1.274112026
16	1.259801926
17	1.246601427
18	1.235576427
19	1.221587031
20	1.209229677
21	1.197445896
22	1.185321118
23	1.174009791
24	1.161323603
25	1.147834276
26	1.139236675
27	1.127287466
28	1.116381906
29	1.105170705
30	1.095189257
31	1.086211944
32	1.075096101
33	1.065737931
34	1.05827434
35	1.047419103
36	1.038254843
37	1.027507331
38	1.016050291
39	1.006557948
40	0.9965351073
41	0.9876101181
42	0.9776401631
43	0.9662619277
44	0.9570597713
45	0.9464024104
46	0.9358398278
47	0.9267206002
48	0.9186473591
49	0.9106549301
50	0.9017073066
51	0.8928888527
52	0.8834824465
53	0.8749518551
54	0.8679934632
55	0.860912329
56	0.8535767237
57	0.8461869702
58	0.8387624627
59	0.8315286078
60	0.8233381045
61	0.8169414077
62	0.8103449209
63	0.8025219043
64	0.7973710894
65	0.7901345275
66	0.7839656358
67	0.7765599482
68	0.7688212345
69	0.7634111408
70	0.7561481023
71	0.7489819087
72	0.7425707672
73	0.7350264611
74	0.7280652316
75	0.7199816955
76	0.7136776129
77	0.7074473587
78	0.7002054096
79	0.6943869153
80	0.6895016769
81	0.6828279248
82	0.6783926705
83	0.6726321472
84	0.667542379
85	0.6621568268
86	0.6569598888
87	0.6493688221
88	0.6438871429
89	0.6366048399
90	0.6299837435
91	0.6238749326
92	0.6173672825
93	0.6113144382
94	0.6061167829
95	0.6005298674
96	0.5951266268
97	0.5912350059
98	0.5856274131
99	0.5811158093
100	0.576005352
101	0.571434508
102	0.5656403322
103	0.5597043541
104	0.5552555343
105	0.5515875221
106	0.5460352806
107	0.5407608962
108	0.5364418991
109	0.5327400374
110	0.5273019458
111	0.5222817441
112	0.5209024226
113	0.5168188216
114	0.5125855922
115	0.507500928
116	0.5035721451
117	0.4996533239
118	0.4946542414
119	0.4916655613
120	0.4868480633
121	0.4826714752
122	0.4785500594
123	0.4738069902
124	0.4692052347
125	0.4646958415
126	0.459857505
127	0.4549140616
128	0.4511978235
129	0.4470520276
130	0.4436385016
131	0.4407178523
132	0.4366323751
133	0.4345315517
134	0.4309234338
135	0.4268001915
136	0.4231111264
137	0.4197325551
138	0.417040384
139	0.4132869078
140	0.4091569042
141	0.4061115339
142	0.4023710346
143	0.398775382
