iter	RMSE
0	69.90456222
1	69.31612777
2	68.7310195
3	68.17442142
4	67.62504769
5	67.04309514
6	66.47173966
7	65.91381904
8	65.38561134
9	64.87150002
10	64.31774521
11	63.81050731
12	63.22656083
13	62.7236795
14	62.24199369
15	61.7661893
16	61.25933415
17	60.7952919
18	60.33995923
19	59.88810099
20	59.38589328
21	58.9358825
22	58.49630796
23	58.06687908
24	57.64558907
25	57.2014751
26	56.4484033
27	56.04236014
28	55.64216962
29	55.23914281
30	54.84819562
31	54.44486433
32	54.04176214
33	53.62662763
34	52.90364541
35	52.52553653
36	52.134342
37	51.70300786
38	51.34883448
39	50.97352023
40	50.60366949
41	50.25145887
42	49.91187713
43	49.57526688
44	49.14691864
45	48.47533717
46	48.15469481
47	47.71456962
48	47.40022268
49	47.05549768
50	46.74949012
51	46.44749132
52	46.15021723
53	45.80856274
54	45.45034255
55	45.1112069
56	44.79874941
57	44.43329213
58	44.15238323
59	43.86851117
60	43.59637137
61	43.15982148
62	42.90183941
63	42.64771709
64	42.3927694
65	42.04082758
66	41.67865799
67	41.42871496
68	41.18145624
69	40.9421902
70	40.36122341
71	40.12388812
72	39.89304951
73	39.66491812
74	39.43814886
75	39.0103444
76	38.79013649
77	38.56887144
78	38.35378387
79	38.21509446
80	37.84623025
81	37.59454439
82	37.27409362
83	37.06492724
84	36.86189497
85	36.66770603
86	36.47637295
87	36.16688706
88	35.64762355
89	35.43327273
90	35.21718378
91	34.71188092
92	34.52363612
93	34.34691712
94	33.99105444
95	33.80989299
96	33.62918985
97	33.40050112
98	33.17091264
99	32.94091909
100	32.46865338
101	32.26913546
102	31.99503919
103	31.83739026
104	31.67374035
105	31.22080727
106	31.06775104
107	30.90999239
108	30.56528389
109	30.41862484
110	29.98606707
111	29.84374922
112	29.54837382
113	29.37899925
114	29.16468515
115	29.0297853
116	28.89269865
117	28.74331587
118	28.33453785
119	28.0944439
120	27.96648248
121	27.8348407
122	27.69780016
123	27.56991225
124	27.41295101
125	27.25763374
126	27.13808053
127	27.02264887
128	26.6368619
129	26.52391828
130	26.3888719
131	26.1079256
132	25.98450506
133	25.85482306
134	25.75137508
135	25.63594544
136	25.27272071
137	25.1730901
138	24.81783234
139	24.70834281
140	24.35974248
141	24.24201499
142	24.14978774
143	23.81074947
144	23.48260399
145	23.32404879
146	23.23142883
147	23.13259545
148	23.04801814
149	22.8387012
150	22.72492453
151	22.60522075
152	22.29225879
153	21.98524086
154	21.82240685
155	21.73707921
156	21.43937367
157	21.13853708
158	20.9121708
159	20.83091729
160	20.75094265
161	20.67169669
162	20.57049065
163	20.42360948
164	20.34709403
165	20.27559606
166	20.17269816
167	20.03163756
168	19.96292955
169	19.90083433
170	19.76446144
171	19.66730736
172	19.59872814
173	19.53164613
174	19.47418437
175	19.38409483
176	19.12417817
177	18.86985242
178	18.81073319
179	18.68725154
180	18.56653515
181	18.50593176
182	18.26789333
183	18.17198455
184	18.11686897
185	18.00435887
186	17.89440138
187	17.82271674
188	17.59199963
189	17.48672279
190	17.38385048
191	17.33358758
192	17.27724116
193	17.21075833
194	17.00445609
195	16.79672057
196	16.73072569
197	16.63690473
198	16.56732188
199	16.35092663
200	16.15556007
201	15.94719372
202	15.86217976
203	15.81729091
204	15.76420992
205	15.68224659
206	15.49162245
207	15.41331243
208	15.33685589
209	15.14448446
210	14.96443845
211	14.78857659
212	14.73127489
213	14.66138797
214	14.53114541
215	14.48565734
216	14.42114336
217	14.38446627
218	14.22885623
219	14.10626423
220	13.94496311
221	13.78748954
222	13.73010219
223	13.58734985
224	13.55641014
225	13.40606516
226	13.25879225
227	13.12470839
228	12.98377606
229	12.93528756
230	12.80710474
231	12.68192188
232	12.55968522
233	12.48206056
234	12.38678293
235	12.29564747
236	12.18160903
237	12.09383705
238	11.98382957
239	11.90169862
240	11.81908398
241	11.7383705
242	11.6906464
243	11.64385448
244	11.56451287
245	11.48700493
246	11.41129621
247	11.36468987
248	11.31898541
249	11.27416682
250	11.17505421
251	11.07796755
252	11.00560256
253	10.96179392
254	10.89089163
255	10.79900857
256	10.7094224
257	10.66658209
258	10.59928396
259	10.55706563
260	10.47733564
261	10.39209634
262	10.32851928
263	10.26644725
264	10.19036812
265	10.14833065
266	10.10710157
267	10.06666682
268	9.986300381
269	9.9468014
270	9.868628147
271	9.810329117
272	9.771555138
273	9.700952224
274	9.662743383
275	9.625273952
276	9.55115106
277	9.495777931
278	9.424807241
279	9.355683013
280	9.287792894
281	9.251121386
282	9.185085615
283	9.148961491
284	9.082755462
285	9.018605244
286	8.955524869
287	8.894335145
288	8.858866947
289	8.824084397
290	8.78997558
291	8.742632156
292	8.682473997
293	8.649000698
294	8.589991106
295	8.557032544
296	8.524713196
297	8.467681455
298	8.412371525
299	8.38040275
300	8.349051573
301	8.318307307
302	8.274743227
303	8.221005701
304	8.190592455
305	8.160766572
306	8.105742975
307	8.055489665
308	8.026240385
309	7.973347852
310	7.933571949
311	7.882789114
312	7.854227695
313	7.805287489
314	7.777173273
315	7.73126942
316	7.703585656
317	7.657805459
318	7.630550076
319	7.603823206
320	7.577615679
321	7.530578529
322	7.494727547
323	7.449387429
324	7.406355783
325	7.380686994
326	7.346951259
327	7.321679456
328	7.279056578
329	7.237558175
330	7.212805849
331	7.180955815
332	7.156590169
333	7.116886487
334	7.092913802
335	7.053002531
336	7.022950063
337	6.999466763
338	6.976443188
339	6.938575509
340	6.907691285
341	6.871754061
342	6.849127201
343	6.826944172
344	6.790647997
345	6.769006218
346	6.739448347
347	6.712027346
348	6.690655911
349	6.6563104
350	6.627827961
351	6.606905178
352	6.579099556
353	6.558517612
354	6.538342632
355	6.508138487
356	6.488256691
357	6.45872033
358	6.431732024
359	6.412072152
360	6.392801881
361	6.363964164
362	6.344977359
363	6.318643903
364	6.299969528
365	6.281666398
366	6.257087073
367	6.229224724
368	6.211129697
369	6.193394935
370	6.166067224
371	6.140725455
372	6.123195142
373	6.106014309
374	6.081226256
375	6.064331183
376	6.037709448
377	6.021068035
378	5.987534803
379	5.963714445
380	5.947309242
381	5.931232318
382	5.905625578
383	5.889793224
384	5.867796394
385	5.852229799
386	5.829196753
387	5.813892655
388	5.789182612
389	5.774113292
390	5.751710528
391	5.736896517
392	5.693069448
393	5.678446375
394	5.647692751
395	5.604786909
396	5.590321445
397	5.57614704
398	5.534000898
399	5.520010808
400	5.496555996
401	5.482781967
402	5.441554009
403	5.427959579
404	5.398388849
405	5.358037124
406	5.344591323
407	5.305057036
408	5.291788207
409	5.278787265
410	5.250382914
411	5.211600491
412	5.198746366
413	5.186152313
414	5.148070983
415	5.135644295
416	5.113857282
417	5.101624386
418	5.064390745
419	5.052320948
420	5.025027852
421	4.988599638
422	4.976668396
423	4.940989021
424	4.929218488
425	4.917686919
426	4.89698655
427	4.87095445
428	4.836120785
429	4.824671056
430	4.799523468
431	4.765451932
432	4.754138097
433	4.741474816
434	4.717275683
435	4.683837568
436	4.660486023
437	4.627859806
438	4.616664653
439	4.604312391
440	4.581850564
441	4.554039425
442	4.532316497
443	4.520323624
444	4.492969638
445	4.472046415
446	4.445229905
447	4.434157359
448	4.413909392
449	4.383448603
450	4.372513354
451	4.360813454
452	4.341351308
453	4.315361344
454	4.296547628
455	4.271073167
456	4.260270917
457	4.248889666
458	4.230764523
459	4.205651348
460	4.188133916
461	4.163522077
462	4.152852168
463	4.141778024
464	4.113670776
465	4.09684392
466	4.085992773
467	4.069698124
468	4.053720425
469	4.043171728
470	4.019386933
471	4.003979106
472	3.993547824
473	3.983206482
474	3.968092734
475	3.958055216
476	3.93468177
477	3.929329214
478	3.924057691
479	3.90955773
480	3.904408045
481	3.89471064
482	3.88970325
483	3.884771628
484	3.87542197
485	3.870626063
486	3.847515471
487	3.842760857
488	3.829061257
489	3.824418463
490	3.815381966
491	3.81086732
492	3.803930219
493	3.799511181
494	3.792763312
495	3.788437576
496	3.775189593
497	3.766200881
498	3.763018864
499	3.759873214
500	3.747137162
501	3.744032644
502	3.732787484
503	3.706829483
504	3.702705942
505	3.680710528
506	3.676623541
507	3.66448579
508	3.639536995
509	3.635527814
510	3.631579781
511	3.623262233
512	3.601990492
513	3.598130714
514	3.586689042
515	3.582922177
516	3.577148483
517	3.565400019
518	3.561713555
519	3.558946087
520	3.553397716
521	3.54688616
522	3.544193866
523	3.53880949
524	3.532510497
525	3.529889675
526	3.524662046
527	3.515693268
528	3.508487295
529	3.505957385
530	3.495163714
531	3.49175596
532	3.481005978
533	3.478513795
534	3.476050383
535	3.469165392
536	3.464311162
537	3.461888277
538	3.455149004
539	3.448449431
540	3.440038409
541	3.435394222
542	3.433047699
543	3.426469194
544	3.40329228
545	3.393272094
546	3.383367655
547	3.380185193
548	3.377053447
549	3.374783786
550	3.366855285
551	3.36247107
552	3.35468029
553	3.350363188
554	3.347339742
555	3.339677198
556	3.320232842
557	3.312595144
558	3.293515731
559	3.29052209
560	3.282821765
561	3.264049597
562	3.25488784
563	3.248916538
564	3.227685356
565	3.224782534
566	3.217601682
567	3.199696557
568	3.192369677
569	3.184730014
570	3.167101354
571	3.164275786
572	3.144189727
573	3.141389106
574	3.133896191
575	3.126779373
576	3.109736035
577	3.102369399
578	3.085615253
579	3.082940945
580	3.063800042
581	3.05684152
582	3.049574667
583	3.033395064
584	3.030793884
585	3.012324201
586	3.009745409
587	3.002569593
588	2.99542491
589	2.990156964
590	2.984881992
591	2.982391089
592	2.977228076
593	2.973489807
594	2.967026523
595	2.960119201
596	2.955006646
597	2.95256866
598	2.946058639
599	2.942465209
600	2.938579219
601	2.933544361
602	2.928646284
603	2.92235348
604	2.918911229
605	2.913946151
606	2.911609735
607	2.905426121
608	2.898935734
609	2.8955549
610	2.893254547
611	2.887075456
612	2.872192175
613	2.867455536
614	2.852928381
615	2.850626961
616	2.836386949
617	2.834109911
618	2.829565135
619	2.81565336
620	2.809744002
621	2.796103022
622	2.793851088
623	2.787898348
624	2.78087959
625	2.76750127
626	2.765306695
627	2.749878009
628	2.747704154
629	2.742026934
630	2.735134979
631	2.722273506
632	2.720154942
633	2.714015795
634	2.701398305
635	2.694626697
636	2.680022153
637	2.677968979
638	2.671519285
639	2.667179136
640	2.664150145
641	2.662163194
642	2.658075392
643	2.652648689
644	2.649762582
645	2.645731552
646	2.642583579
647	2.639242368
648	2.635303523
649	2.632268514
650	2.628334409
651	2.62562298
652	2.620183387
653	2.618320433
654	2.615661332
655	2.609633197
656	2.606694984
657	2.601343715
658	2.59845956
659	2.595363028
660	2.591697068
661	2.586466036
662	2.583939734
663	2.57880813
664	2.575752113
665	2.572970194
666	2.567261414
667	2.56427543
668	2.552472379
669	2.548725079
670	2.53720666
671	2.527396959
672	2.524221104
673	2.522466176
674	2.516354915
675	2.51462192
676	2.510974032
677	2.499827067
678	2.490344531
679	2.484613516
680	2.482913871
681	2.481241562
682	2.475789233
683	2.469498366
684	2.464130178
685	2.457938875
686	2.447084491
687	2.437986754
688	2.432316537
689	2.428780053
690	2.418300658
691	2.412230589
692	2.401929684
693	2.393255274
694	2.387733605
695	2.386150861
696	2.384593107
697	2.379358752
698	2.373485765
699	2.368334018
700	2.364953429
701	2.354993435
702	2.349162077
703	2.340791069
704	2.335757701
705	2.32711031
706	2.321990176
707	2.310586376
708	2.304872603
709	2.296865142
710	2.291613128
711	2.29011781
712	2.286864471
713	2.283632198
714	2.2821734
715	2.277213079
716	2.271727744
717	2.263508004
718	2.255728349
719	2.250856228
720	2.242840141
721	2.237425802
722	2.229521957
723	2.222083582
724	2.217321092
725	2.212005313
726	2.204266827
727	2.199317807
728	2.191738266
729	2.184570335
730	2.177154167
731	2.173155571
732	2.168414389
733	2.163777464
734	2.15863481
735	2.151295917
736	2.144382292
737	2.137201799
738	2.133278203
739	2.12660025
740	2.119582798
741	2.114955411
742	2.108045104
743	2.101605164
744	2.097753091
745	2.093173661
746	2.086403015
747	2.081226039
748	2.076756411
749	2.071809629
750	2.065130553
751	2.060074252
752	2.056270545
753	2.051926536
754	2.045682557
755	2.039152592
756	2.034203796
757	2.027802161
758	2.022960408
759	2.018102463
760	2.014343215
761	2.009549257
762	2.003269275
763	1.998513551
764	1.993807292
765	1.987626599
766	1.983010593
767	1.978741713
768	1.973689476
769	1.969036259
770	1.964497937
771	1.95842755
772	1.953976335
773	1.95164986
774	1.948748928
775	1.942803958
776	1.937890703
777	1.93351297
778	1.928205825
779	1.925390088
780	1.921063058
781	1.917421694
782	1.914725294
783	1.908853361
784	1.904351724
785	1.89856172
786	1.894323216
787	1.89162234
788	1.887432128
